"Year","Species","Biomass_base"
1985,"SPINY DOGFISH",7291200320.10449
1986,"SPINY DOGFISH",7303556688.84437
1987,"SPINY DOGFISH",7316974601.48259
1988,"SPINY DOGFISH",7323086305.59067
1989,"SPINY DOGFISH",7343584865.54537
1990,"SPINY DOGFISH",7353185215.64945
1991,"SPINY DOGFISH",7348229825.21891
1992,"SPINY DOGFISH",7322027756.25893
1993,"SPINY DOGFISH",7279755491.34069
1994,"SPINY DOGFISH",7246185334.61344
1995,"SPINY DOGFISH",7220644774.76939
1996,"SPINY DOGFISH",7165650977.43336
1997,"SPINY DOGFISH",7093669746.28445
1998,"SPINY DOGFISH",7040425938.78023
1999,"SPINY DOGFISH",6980054785.50519
2000,"SPINY DOGFISH",6916038165.63004
2001,"SPINY DOGFISH",6846258655.78156
2002,"SPINY DOGFISH",6769954840.29163
2003,"SPINY DOGFISH",6698338543.53762
2004,"SPINY DOGFISH",6624599084.78922
2005,"SPINY DOGFISH",6549141808.89585
2006,"SPINY DOGFISH",6472308469.26376
2007,"SPINY DOGFISH",6394379656.79021
2008,"SPINY DOGFISH",6315585883.24248
2009,"SPINY DOGFISH",6236117345.97447
2010,"SPINY DOGFISH",6156131648.58583
1970,"WHITE HAKE",21648514097.7458
1971,"WHITE HAKE",20991512831.131
1972,"WHITE HAKE",18642788450.1582
1973,"WHITE HAKE",19323117421.9792
1974,"WHITE HAKE",19983637256.4811
1975,"WHITE HAKE",21195729427.9502
1976,"WHITE HAKE",22505395385.5369
1977,"WHITE HAKE",23622352114.7169
1978,"WHITE HAKE",23788193342.8825
1979,"WHITE HAKE",23506361662.724
1980,"WHITE HAKE",24307852884.0507
1981,"WHITE HAKE",21920346832.7357
1982,"WHITE HAKE",19220696937.6898
1983,"WHITE HAKE",18146885921.57
1984,"WHITE HAKE",17939233766.1061
1985,"WHITE HAKE",18282073843.2649
1986,"WHITE HAKE",18901991266.3037
1987,"WHITE HAKE",18595795689.1573
1988,"WHITE HAKE",20120831954.9634
1989,"WHITE HAKE",21586057312.36
1990,"WHITE HAKE",22515378810.3905
1991,"WHITE HAKE",23508238837.7117
1992,"WHITE HAKE",24231796046.8541
1993,"WHITE HAKE",24671325238.482
1994,"WHITE HAKE",25628388667.9783
1995,"WHITE HAKE",26548519873.3655
1996,"WHITE HAKE",27266367340.2515
1997,"WHITE HAKE",27779008468.3786
1998,"WHITE HAKE",28125276072.2754
1999,"WHITE HAKE",28330658122.7953
2000,"WHITE HAKE",28422096744.5822
2001,"WHITE HAKE",28421774604.0634
2002,"WHITE HAKE",28337922827.8831
2003,"WHITE HAKE",28214102584.1568
2004,"WHITE HAKE",28040604864.307
2005,"WHITE HAKE",27826446074.9929
2006,"WHITE HAKE",27579189275.7988
2007,"WHITE HAKE",27305037287.4352
2008,"WHITE HAKE",27009103289.5266
2009,"WHITE HAKE",26695625506.4574
2010,"WHITE HAKE",26368120697.0117
1970,"WITCH FLOUNDER",11510748883.0176
1971,"WITCH FLOUNDER",11329552201.281
1972,"WITCH FLOUNDER",11437782578.2232
1973,"WITCH FLOUNDER",10335714741.7538
1974,"WITCH FLOUNDER",9720704350.28017
1975,"WITCH FLOUNDER",8760613980.32659
1976,"WITCH FLOUNDER",7526090349.64485
1977,"WITCH FLOUNDER",5979166657.71383
1978,"WITCH FLOUNDER",5773118123.38544
1979,"WITCH FLOUNDER",5261773693.70993
1980,"WITCH FLOUNDER",4859764174.12234
1981,"WITCH FLOUNDER",4365920234.05523
1982,"WITCH FLOUNDER",5523917809.09174
1983,"WITCH FLOUNDER",7455695618.40273
1984,"WITCH FLOUNDER",9411342259.18606
1985,"WITCH FLOUNDER",11127423752.9831
1986,"WITCH FLOUNDER",12645484831.7277
1987,"WITCH FLOUNDER",14239980806.3244
1988,"WITCH FLOUNDER",15559757676.9483
