"Year","Species","Biomass_opt"
1999,"YELLOWTAIL FLOUNDER",53821564475.6644
2000,"YELLOWTAIL FLOUNDER",51334365024.9038
2001,"YELLOWTAIL FLOUNDER",48924682415.0613
2002,"YELLOWTAIL FLOUNDER",46553977485.128
2003,"YELLOWTAIL FLOUNDER",44231141588.9703
2004,"YELLOWTAIL FLOUNDER",41909266938.5328
2005,"YELLOWTAIL FLOUNDER",39563741302.898
2006,"YELLOWTAIL FLOUNDER",37184194990.3559
2007,"YELLOWTAIL FLOUNDER",34784278018.0443
2008,"YELLOWTAIL FLOUNDER",32391359264.5698
2009,"YELLOWTAIL FLOUNDER",30037761429.8548
2010,"YELLOWTAIL FLOUNDER",27758411579.1131
